pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
21.17,-41.16,90,top,R5,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,5k1,smt,True
63.8,-14.8,90,top,R6,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
60.4,-14.8,90,top,R7,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
70.6,-14.8,90,top,R8,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
74.2,-14.8,90,top,R9,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
36.675,-13.225,0,top,S1,,CJS-1200TA,CJS-1200TA,smt,True
37.025,-8.975,0,top,S2,,SW_TL1015AF160QG,TL1015AF160QG,smt,True
50.1,-50.9,0,top,SW2,,SW_SPDT_CK-JS102011SAQN,SW_SPDT,smt,True
51.8,-2.2,90,top,U1,,SOT-223-3_TabPin2,AZ1117-3.3,smt,True
62.2,-2.2,90,top,U2,,SOT-223-3_TabPin2,AZ1117-1.8,smt,True
72.39,-2.2,90,top,U3,,SOT-223-3_TabPin2,MCP1826S,smt,True
60.765,-33.3,90,top,U4,,SOIC-8_5.23x5.23mm_P1.27mm,W25Q32JVSS,smt,True
20.75858,-15.566117,45,top,Y1,,Crystal_SMD_2016-4Pin_2.0x1.6mm,24 MHz,smt,True
